"";"loading1";"loading2";"correlation";"n";"Rejection_rate_htmt_1";"Rejection_rate_htmt_1_boot";"comp_time_delta";"comp_time_boot"
"1";0,5;0,7;0,5;50;0,843;0,71;0.0211061015129089;4.19378431534767
"2";0,5;0,7;0,5;100;0,984;0,964;0.018704981803894;3.85084034633636
"3";0,5;0,7;0,5;200;1;1;0.0203097562789917;3.91048023629189
"4";0,5;0,7;0,5;500;1;1;0.0277838380336761;4.16958981227875
"5";0,5;0,7;0,7;50;0,549;0,4;0.0202566630840302;4.33310632920265
"6";0,5;0,7;0,7;100;0,852;0,799;0.026024050951004;5.20662800550461
"7";0,5;0,7;0,7;200;0,987;0,981;0.0488307378292084;9.15703929638863
"8";0,5;0,7;0,7;500;1;1;0.0693103470802307;10.8944424574375
"9";0,5;0,7;0,8;50;0,322;0,217;0.0244821696281433;5.20835461950302
"10";0,5;0,7;0,8;100;0,587;0,524;0.0170602245330811;3.4314604640007
"11";0,5;0,7;0,8;200;0,853;0,84;0.0187827897071838;3.52783711600304
"12";0,5;0,7;0,8;500;0,996;0,996;0.0237588074207306;3.56027309346199
"13";0,5;0,7;0,9;50;0,137;0,083;0.0161597502231598;3.40033096194267
"14";0,5;0,7;0,9;100;0,241;0,205;0.017308468580246;3.5084120247364
"15";0,5;0,7;0,9;200;0,411;0,393;0.01841965675354;3.45410499691963
"16";0,5;0,7;0,9;500;0,769;0,766;0.0243863558769226;3.70293683624268
"17";0,5;0,7;1;50;0,030060120240481;0,0130260521042084;0.0163485033956463;3.42320352135775
"18";0,5;0,7;1;100;0,035;0,029;0.0165775129795074;3.38948546266556
"19";0,5;0,7;1;200;0,059;0,054;0.0179227192401886;3.37620590591431
"20";0,5;0,7;1;500;0,044;0,044;0.0234332344532013;3.50869484901428
"21";0,5;0,9;0,5;50;0,920920920920921;0,800800800800801;0.0162106553116838;3.389851065608
"22";0,5;0,9;0,5;100;0,996;0,983;0.0168078672885895;3.45539813709259
"23";0,5;0,9;0,5;200;1;1;0.0187843511104584;3.49683168840408
"24";0,5;0,9;0,5;500;1;1;0.0240045042037964;3.62854131484032
"25";0,5;0,9;0,7;50;0,71;0,543;0.0174279673099518;3.76924951887131
"26";0,5;0,9;0,7;100;0,926;0,889;0.0182015211582184;3.83837567710876
"27";0,5;0,9;0,7;200;0,998;0,995;0.0196160731315613;3.82500677490234
"28";0,5;0,9;0,7;500;1;1;0.0250378835201263;3.93205002689362
"29";0,5;0,9;0,8;50;0,485485485485485;0,342342342342342;0.0170566684848911;3.76791729249276
"30";0,5;0,9;0,8;100;0,739;0,694;0.0180303883552551;3.7729674487114
"31";0,5;0,9;0,8;200;0,95;0,938;0.0197938442230225;3.82370982170105
"32";0,5;0,9;0,8;500;0,999;0,999;0.0249863677024841;3.9281501750946
"33";0,5;0,9;0,9;50;0,201;0,104;0.0173412230014801;3.75533937120438
"34";0,5;0,9;0,9;100;0,361;0,307;0.0181785581111908;3.78062858581543
"35";0,5;0,9;0,9;200;0,586;0,552;0.019582466840744;3.83498822832108
"36";0,5;0,9;0,9;500;0,898;0,892;0.0253196210861206;3.91923997759819
"37";0,5;0,9;1;50;0,045135406218656;0,0300902708124373;0.0171136872818621;3.77804743370775
"38";0,5;0,9;1;100;0,041;0,025;0.0180954871177673;3.79471085762978
"39";0,5;0,9;1;200;0,045;0,042;0.019984610080719;3.86750931501389
"40";0,5;0,9;1;500;0,041;0,038;0.025582070350647;3.94300308990478
"41";0,7;0,9;0,5;50;1;0,998;0.0173561155796051;3.77925936341286
"42";0,7;0,9;0,5;100;1;1;0.0179601535797119;3.80530544281006
"43";0,7;0,9;0,5;200;1;1;0.019593151807785;3.8340184545517
"44";0,7;0,9;0,5;500;1;1;0.0249782054424286;3.91218887472153
"45";0,7;0,9;0,7;50;0,987;0,978;0.0172556447982788;3.77848977708817
"46";0,7;0,9;0,7;100;1;1;0.018213809967041;3.86095839333534
"47";0,7;0,9;0,7;200;1;1;0.0197531092166901;3.82171677422523
"48";0,7;0,9;0,7;500;1;1;0.0263756737709045;4.11984350156784
"49";0,7;0,9;0,8;50;0,906;0,863;0.0176935489177704;3.80134715652466
"50";0,7;0,9;0,8;100;0,999;0,998;0.0179912226200104;3.7842937245369
"51";0,7;0,9;0,8;200;1;1;0.0195699164867401;3.79582448387146
"52";0,7;0,9;0,8;500;1;1;0.0253569643497467;3.94735420870781
"53";0,7;0,9;0,9;50;0,533;0,462;0.0171589024066925;3.7663546936512
"54";0,7;0,9;0,9;100;0,845;0,829;0.0182762808799744;3.81455816149712
"55";0,7;0,9;0,9;200;0,987;0,986;0.0197875616550446;3.77508350229263
"56";0,7;0,9;0,9;500;1;1;0.0247660205364227;3.89438567042351
"57";0,7;0,9;1;50;0,035;0,02;0.0293546957969666;6.4108901951313
"58";0,7;0,9;1;100;0,03;0,022;0.0225154132843018;4.53199727606773
"59";0,7;0,9;1;200;0,041;0,036;0.0232023129463196;4.39078127121925
"60";0,7;0,9;1;500;0,047;0,046;0.0276764860153198;4.2359078066349
