"";"loading1";"loading2";"correlation";"n";"Rejection_rate_htmt_1"
"1";0,3;0,4;0,5;50;0,323024054982818
"2";0,3;0,4;0,5;100;0,427402862985685
"3";0,3;0,4;0,5;250;0,707121364092277
"4";0,3;0,4;0,5;1000;0,995
"5";0,3;0,4;0,7;50;0,186712485681558
"6";0,3;0,4;0,7;100;0,227600411946447
"7";0,3;0,4;0,7;250;0,395395395395395
"8";0,3;0,4;0,7;1000;0,855
"9";0,3;0,4;0,8;50;0,133938706015891
"10";0,3;0,4;0,8;100;0,161122661122661
"11";0,3;0,4;0,8;250;0,235
"12";0,3;0,4;0,8;1000;0,598
"13";0,3;0,4;0,9;50;0,0835214446952596
"14";0,3;0,4;0,9;100;0,093071354705274
"15";0,3;0,4;0,9;250;0,145
"16";0,3;0,4;0,9;1000;0,261
"17";0,3;0,4;1;50;0,0651428571428571
"18";0,3;0,4;1;100;0,0537745604963806
"19";0,3;0,4;1;250;0,0510510510510511
"20";0,3;0,4;1;1000;0,064
"21";0,3;0,7;0,5;50;0,563380281690141
"22";0,3;0,7;0,5;100;0,683673469387755
"23";0,3;0,7;0,5;250;0,903807615230461
"24";0,3;0,7;0,5;1000;1
"25";0,3;0,7;0,7;50;0,335903083700441
"26";0,3;0,7;0,7;100;0,481519507186858
"27";0,3;0,7;0,7;250;0,684
"28";0,3;0,7;0,7;1000;0,987
"29";0,3;0,7;0,8;50;0,233995584988962
"30";0,3;0,7;0,8;100;0,313585291113381
"31";0,3;0,7;0,8;250;0,437
"32";0,3;0,7;0,8;1000;0,882
"33";0,3;0,7;0,9;50;0,162365591397849
"34";0,3;0,7;0,9;100;0,147843942505133
"35";0,3;0,7;0,9;250;0,221
"36";0,3;0,7;0,9;1000;0,457
"37";0,3;0,7;1;50;0,0832420591456736
"38";0,3;0,7;1;100;0,061139896373057
"39";0,3;0,7;1;250;0,0820820820820821
"40";0,3;0,7;1;1000;0,069
"41";0,3;0,8;0,5;50;0,700604838709677
"42";0,3;0,8;0,5;100;0,935
"43";0,3;0,8;0,5;250;0,998
"44";0,3;0,8;0,5;1000;1
"45";0,3;0,8;0,7;50;0,436105476673428
"46";0,3;0,8;0,7;100;0,652
"47";0,3;0,8;0,7;250;0,92
"48";0,3;0,8;0,7;1000;1
"49";0,3;0,8;0,8;50;0,265035677879715
"50";0,3;0,8;0,8;100;0,442442442442442
"51";0,3;0,8;0,8;250;0,734
"52";0,3;0,8;0,8;1000;0,997
"53";0,3;0,8;0,9;50;0,155712841253792
"54";0,3;0,8;0,9;100;0,177177177177177
"55";0,3;0,8;0,9;250;0,336
"56";0,3;0,8;0,9;1000;0,8
"57";0,3;0,8;1;50;0,0575757575757576
"58";0,3;0,8;1;100;0,04
"59";0,3;0,8;1;250;0,064
"60";0,3;0,8;1;1000;0,061
"61";0,3;0,9;0,5;50;0,998
"62";0,3;0,9;0,5;100;1
"63";0,3;0,9;0,5;250;1
"64";0,3;0,9;0,5;1000;1
"65";0,3;0,9;0,7;50;0,948
"66";0,3;0,9;0,7;100;1
"67";0,3;0,9;0,7;250;1
"68";0,3;0,9;0,7;1000;1
"69";0,3;0,9;0,8;50;0,769
"70";0,3;0,9;0,8;100;0,983
"71";0,3;0,9;0,8;250;1
"72";0,3;0,9;0,8;1000;1
"73";0,3;0,9;0,9;50;0,372
"74";0,3;0,9;0,9;100;0,685
"75";0,3;0,9;0,9;250;0,971
"76";0,3;0,9;0,9;1000;1
"77";0,3;0,9;1;50;0,02
"78";0,3;0,9;1;100;0,025
"79";0,3;0,9;1;250;0,037
"80";0,3;0,9;1;1000;0,044
