"";"loading1";"loading2";"correlation";"n";"rrdelta001";"rrdelta005";"rrdelta010";"rrboot001";"rrboot005";"rrboot010";"tdelta";"tboot"
"1";1;1;0,7;50;0,864;0,982;0,996;0,941;0,992;0,997;0.0167401566505432;3.86135075187683
"2";1;1;0,7;100;0,99;1;1;0,998;1;1;0.0130790145397186;3.85830810642242
"3";1;1;0,7;200;1;1;1;1;1;1;0.0142533102035522;3.87949950170517
"4";1;1;0,7;400;1;1;1;1;1;1;0.0157155966758728;3.94635955095291
"5";1;1;0,8;50;0,65;0,889;0,945;0,731;0,906;0,954;0.013565765619278;3.84799471449852
"6";1;1;0,8;100;0,944;0,995;0,997;0,975;0,997;1;0.0137207429409027;3.85460664844513
"7";1;1;0,8;200;1;1;1;1;1;1;0.0144906995296478;3.87397162222862
"8";1;1;0,8;400;1;1;1;1;1;1;0.0162910869121551;3.92274899411201
"9";1;1;0,9;50;0,242;0,534;0,711;0,251;0,504;0,661;0.0131860883235931;3.84443393969536
"10";1;1;0,9;100;0,536;0,832;0,921;0,602;0,84;0,923;0.0136392965316772;3.84108090162277
"11";1;1;0,9;200;0,901;0,976;0,995;0,931;0,979;0,993;0.0146057014465332;3.88302906799316
"12";1;1;0,9;400;0,996;1;1;0,998;1;1;0.0155323417186737;3.93539335989952
"13";1;1;1;50;0,004;0,035;0,073;0,002;0,017;0,041;0.0131479468345642;3.83571206307411
"14";1;1;1;100;0,003;0,035;0,078;0,003;0,024;0,058;0.0139920766353607;3.85109989333153
"15";1;1;1;200;0,007;0,037;0,087;0,007;0,028;0,063;0.0145307216644287;3.87502328491211
"16";1;1;1;400;0,006;0,03;0,066;0,006;0,032;0,058;0.0159891483783722;3.92326851916313
